category,score
interop-2021-transforms,976
interop-2022-scrolling,942
interop-2022-subgrid,733
interop-2023-color,974
interop-2023-contain,736
interop-2023-container,844
interop-2023-cssborderimage,894
interop-2023-cssmasking,858
interop-2023-events,466
interop-2023-flexbox,937
interop-2023-fonts,935
interop-2023-forms,856
interop-2023-grid,906
interop-2023-has,915
interop-2023-inert,868
interop-2023-mathfunctions,910
interop-2023-mediaqueries,999
interop-2023-modules,945
interop-2023-motion,717
interop-2023-offscreencanvas,909
interop-2023-property,937
interop-2023-pseudos,762
interop-2023-url,980
interop-2023-webcodecs,635
interop-2023-webcompat,639
interop-2023-webcomponents,1000
