category,score
interop-2023-events,947
interop-2023-property,992
interop-2023-url,993
interop-2024-accessibility,1000
interop-2024-dir,1000
interop-2024-dsd,1000
interop-2024-font-size-adjust,995
interop-2024-indexeddb,994
interop-2024-layout,957
interop-2024-nesting,1000
interop-2024-popover,993
interop-2024-relative-color,1000
interop-2024-scrollbar,652
interop-2024-starting-style-transition-behavior,958
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,1000
