category,score
interop-2023-events,999
interop-2024-layout,972
interop-2025-anchor-positioning,147
interop-2025-backdrop-filter,824
interop-2025-core-web-vitals,898
interop-2025-details,815
interop-2025-modules,1000
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,843
interop-2025-scrollend,928
interop-2025-storageaccess,951
interop-2025-textdecoration,1000
interop-2025-urlpattern,1
interop-2025-view-transitions,617
interop-2025-webassembly,816
interop-2025-webcompat,877
interop-2025-webrtc,771
interop-2025-writingmodes,1000
