category,score
interop-2023-events,1000
interop-2024-layout,1000
interop-2025-anchor-positioning,990
interop-2025-backdrop-filter,1000
interop-2025-core-web-vitals,982
interop-2025-details,1000
interop-2025-modules,1000
interop-2025-navigation,992
interop-2025-remove-mutation-events,1000
interop-2025-scope,1000
interop-2025-scrollend,1000
interop-2025-storageaccess,948
interop-2025-textdecoration,1000
interop-2025-urlpattern,1000
interop-2025-view-transitions,1000
interop-2025-webassembly,500
interop-2025-webcompat,1000
interop-2025-webrtc,900
interop-2025-writingmodes,1000
